Hugo_Symbol	Entrez_Gene_Id	TCGA-BX-1000-01	TCGA-BX-1001-01	TCGA-BX-1002-01	TCGA-BX-1003-01	TCGA-BX-1004-01	TCGA-BX-1005-01	TCGA-BX-1006-01	TCGA-BX-1007-01	TCGA-BX-1008-01	TCGA-BX-1009-01	TCGA-BX-1010-01	TCGA-BX-1011-01	TCGA-BX-1012-01	TCGA-BX-1013-01	TCGA-BX-1014-01	TCGA-BX-1015-01	TCGA-BX-1016-01	TCGA-BX-1017-01	TCGA-BX-1018-01	TCGA-BX-1019-01	TCGA-BX-1020-01	TCGA-BX-1021-01	TCGA-BX-1022-01	TCGA-BX-1023-01	TCGA-BX-1024-01	TCGA-BX-1025-01	TCGA-BX-1026-01	TCGA-BX-1027-01	TCGA-BX-1028-01	TCGA-BX-1029-01	TCGA-BX-1030-01	TCGA-BX-1031-01	TCGA-BX-1032-01	TCGA-BX-1033-01	TCGA-BX-1034-01	TCGA-BX-1035-01	TCGA-BX-1036-01	TCGA-BX-1037-01	TCGA-BX-1038-01	TCGA-BX-1039-01	TCGA-BX-1040-01	TCGA-BX-1041-01	TCGA-BX-1042-01	TCGA-BX-1043-01	TCGA-BX-1044-01	TCGA-BX-1045-01	TCGA-BX-1046-01	TCGA-BX-1047-01	TCGA-BX-1048-01	TCGA-BX-1049-01	TCGA-BX-1050-01	TCGA-BX-1051-01	TCGA-BX-1052-01	TCGA-BX-1053-01	TCGA-BX-1054-01	TCGA-BX-1055-01	TCGA-BX-1056-01	TCGA-BX-1057-01	TCGA-BX-1058-01	TCGA-BX-1059-01	TCGA-BX-1060-01	TCGA-BX-1061-01	TCGA-BX-1062-01	TCGA-BX-1063-01	TCGA-BX-1064-01	TCGA-BX-1065-01	TCGA-BX-1066-01	TCGA-BX-1067-01	TCGA-BX-1068-01	TCGA-BX-1069-01	TCGA-BX-1070-01	TCGA-BX-1071-01	TCGA-BX-1072-01	TCGA-BX-1073-01	TCGA-BX-1074-01	TCGA-BX-1075-01	TCGA-BX-1076-01	TCGA-BX-1077-01	TCGA-BX-1078-01	TCGA-BX-1079-01	TCGA-BX-1080-01	TCGA-BX-1081-01	TCGA-BX-1082-01	TCGA-BX-1083-01	TCGA-BX-1084-01	TCGA-BX-1085-01	TCGA-BX-1086-01	TCGA-BX-1087-01	TCGA-BX-1088-01	TCGA-BX-1089-01	TCGA-BX-1090-01	TCGA-BX-1091-01	TCGA-BX-1092-01	TCGA-BX-1093-01	TCGA-BX-1094-01	TCGA-BX-1095-01	TCGA-BX-1096-01	TCGA-BX-1097-01	TCGA-BX-1098-01	TCGA-BX-1099-01	TCGA-BX-1100-01	TCGA-BX-1101-01	TCGA-BX-1102-01	TCGA-BX-1103-01	TCGA-BX-1104-01	TCGA-BX-1105-01	TCGA-BX-1106-01	TCGA-BX-1107-01	TCGA-BX-1108-01	TCGA-BX-1109-01	TCGA-BX-1110-01	TCGA-BX-1111-01	TCGA-BX-1112-01	TCGA-BX-1113-01	TCGA-BX-1114-01	TCGA-BX-1115-01	TCGA-BX-1116-01	TCGA-BX-1117-01	TCGA-BX-1118-01	TCGA-BX-1119-01	TCGA-BX-1120-01	TCGA-BX-1121-01	TCGA-BX-1122-01	TCGA-BX-1123-01	TCGA-BX-1124-01	TCGA-BX-1125-01	TCGA-BX-1126-01	TCGA-BX-1127-01	TCGA-BX-1128-01	TCGA-BX-1129-01	TCGA-BX-1130-01	TCGA-BX-1131-01	TCGA-BX-1132-01	TCGA-BX-1133-01	TCGA-BX-1134-01	TCGA-BX-1135-01	TCGA-BX-1136-01	TCGA-BX-1137-01	TCGA-BX-1138-01	TCGA-BX-1139-01	TCGA-BX-1140-01	TCGA-BX-1141-01	TCGA-BX-1142-01	TCGA-BX-1143-01	TCGA-BX-1144-01	TCGA-BX-1145-01	TCGA-BX-1146-01	TCGA-BX-1147-01	TCGA-BX-1148-01	TCGA-BX-1149-01
BRCA1	672	9.6853	10.2358	4.284	10.9848	9.0439	6.2492	4.0911	9.0728	9.0864	7.6869	5.9341	5.0585	9.1555	9.5541	5.9283	8.6978	9.8034	12.0131	6.8378	9.455	6.3526	8.1962	8.8399	8.5021	9.1863	9.1164	7.3594	7.6897	7.8347	7.7665	9.2428	11.6592	7.5279	8.8783	8.0777	7.188	7.1621	8.6279	6.5084	8.8269	9.1685	9.5273	8.4841	7.7725	10.961	7.2467	8.6026	7.6328	8.6459	7.9583	5.0351	7.8885	6.4808	8.526	7.8093	6.3609	5.7121	5.5674	12.4954	9.9233	9.2884	8.2476	3.0746	8.8273	9.1852	9.6543	5.7761	9.9545	4.1274	8.1621	5.9472	8.1113	6.4392	9.2218	8.593	8.097	6.7887	8.2748	10.3738	9.4789	6.1526	6.8383	10.8079	11.2151	7.3002	6.3364	8.3661	4.3133	9.7333	8.8948	7.0755	8.0903	7.619	7.1783	9.5714	9.2569	6.3086	7.1112	9.8876	11.1838	9.5504	9.1118	8.1712	8.4959	8.0426	4.8477	7.6824	5.5314	5.687	6.5498	7.524	9.3276	7.3956	3.3817	7.5416	6.9122	9.3805	6.737	6.1473	9.6865	9.028	10.3463	9.0027	8.0566	8.4937	5.4277	8.5785	6.8467	7.8257	5.7801	10.0371	7.4582	5.6905	7.2926	10.4876	9.1582	6.8371	5.7392	8.7227	9.7625	9.003	10.2855	10.6172	9.9968	5.1652	5.2113	10.0906	8.8803	9.8626	8.1463
BRCA2	675	7.5679	11.5593	4.5269	8.8794	7.0727	6.7033	4.1252	10.3671	8.991	5.3358	6.1754	4.2935	9.2716	5.9833	5.5137	8.2957	9.0872	10.5483	5.3855	9.1958	7.3777	9.2692	9.7565	8.4269	8.3436	9.1434	7.7902	7.3173	8.3952	4.7237	8.8908	10.737	6.5374	10.496	8.8848	8.7897	9.7141	9.2771	9.0687	6.6661	9.6596	11.0733	6.7291	8.9995	8.3767	8.2255	7.1509	10.7764	8.9283	9.2657	4.7546	9.6267	3.191	8.8278	5.3187	10.0881	5.7127	7.7824	10.2928	9.8596	6.1433	6.1127	5.1457	7.0385	10.1765	9.3343	4.5959	7.4294	4.1908	8.0134	9.8786	6.3445	7.1252	9.6395	7.2957	12.6767	7.5044	8.6306	10.6463	7.6568	4.9793	8.923	10.2862	9.428	8.4299	6.251	9.4474	5.5808	11.0886	10.0932	9.1079	7.8795	6.6781	7.8171	8.7897	11.0879	7.0434	6.1305	9.5896	9.522	11.0712	9.1756	8.4785	10.65	5.9631	4.6815	5.5566	7.2075	6.5168	8.4806	10.2042	9.3435	7.0939	4.5703	11.6176	7.9041	9.8125	7.4745	5.9366	9.4957	9.2967	11.1309	7.4472	8.1206	7.2748	7.7019	10.949	7.7132	10.3552	5.893	7.159	7.394	5.2475	6.1929	9.7286	8.8848	9.478	6.8519	11.0935	10.3321	6.4109	10.8883	9.5991	6.6287	6.5115	6.3112	10.7847	10.0674	10.7271	7.7894
TP53	7157	9.6574	7.6945	4.337	8.4169	9.5761	7.8933	4.7693	7.9716	8.3253	7.8049	7.37	6.6041	10.7198	7.2166	8.7177	8.4787	10.0535	12.0291	6.2851	9.6722	7.1906	4.0677	10.3089	8.8914	6.3303	10.6349	7.3734	5.2332	5.6468	9.0983	7.2355	10.9928	8.8896	8.0814	8.7025	6.099	9.9616	8.1241	9.4417	7.4767	8.7958	10.4048	7.7111	7.1718	7.2641	6.1688	7.1723	7.7924	12.6744	9.4355	2.9938	10.9984	4.9105	11.7043	7.7305	7.7877	3.6431	7.0456	11.0974	6.9883	9.8583	6.4543	2.6332	7.699	10.0263	8.7359	6.3434	8.1954	3.5656	9.2437	7.1223	7.1646	8.6684	7.2863	7.7962	8.5357	5.5422	7.3795	9.3071	7.2035	7.5212	9.8667	8.7076	9.3689	8.4442	5.9088	8.2005	6.9228	9.3423	9.5821	9.3911	8.6534	8.1958	10.0844	6.8562	9.6522	6.7773	6.9231	8.9887	8.6703	10.1144	10.1639	9.9402	8.9689	9.625	3.787	5.4773	4.6395	5.375	5.8707	8.3984	8.9399	6.9316	6.4719	9.6893	5.965	8.9061	7.2159	7.3284	8.1475	8.1202	9.8041	6.3893	13.1264	8.525	5.3766	8.4235	3.8281	11.8954	6.7251	9.914	6.5356	5.9041	5.5931	12.9084	7.1172	8.081	6.3756	10.2382	9.8478	7.848	9.0586	11.5186	8.6026	7.153	8.2961	9.0552	8.5827	12.8115	7.5512
MKI67	4288	9.9299	8.2626	3.904	8.875	10.1328	9.0161	3.165	8.985	9.8215	9.9535	8.2567	7.7208	9.1	6.1957	8.0681	7.2897	10.2264	9.7655	7.5263	9.1051	5.1847	5.6199	10.746	7.1141	7.1265	7.6977	6.7882	7.0655	9.4247	6.6118	9.2574	9.2419	7.4612	9.193	9.2927	8.4086	7.7214	7.4286	7.9658	8.1853	8.6222	8.0478	10.3503	5.5355	9.0612	7.7744	6.6108	8.4328	9.4097	8.996	5.5582	8.1365	5.131	9.531	6.603	7.339	4.8528	7.3827	9.7895	10.0987	8.4393	8.5296	2.8226	9.0237	8.5585	8.6468	9.0008	9.743	1.5884	8.0939	8.7945	9.3672	8.9026	8.0901	8.9599	8.9195	5.2674	7.8755	10.5742	6.8937	7.4711	7.2838	9.9944	8.2206	8.0447	7.1742	8.8039	7.0529	9.6309	10.2382	8.2717	8.3842	8.3185	8.324	11.702	11.1046	5.5827	8.07	8.4439	13.1853	10.6088	8.3604	7.1526	8.2928	8.4325	5.4483	5.4527	8.4874	5.1787	7.9311	7.9431	8.8694	6.1909	5.3805	11.5841	6.1172	9.661	8.6343	7.5243	8.2778	8.2492	9.1545	8.5775	7.655	7.2646	3.837	6.3024	4.9709	8.7365	3.4783	12.0779	7.7856	8.4257	6.1605	11.6618	7.0124	8.2827	5.3983	9.7986	11.6001	5.8242	7.7012	12.1132	9.5682	9.4745	7.961	9.5156	9.8021	10.1699	9.1088
ESR1	2099	8.9627	7.8653	5.3296	7.3469	10.7783	6.8912	5.1566	9.5306	8.7039	8.485	6.4926	5.0225	9.1116	8.4853	8.1547	8.005	8.838	11.6579	5.5642	6.9264	6.1532	4.8842	10.9339	9.1969	7.2313	8.4719	8.4745	7.6059	7.8987	7.7761	8.3505	9.9529	5.9723	11.0203	8.3616	7.0134	9.8279	8.5982	6.3352	11.1354	10.251	7.2497	8.5906	7.1057	7.83	8.7752	6.8468	9.8967	10.2801	10.1673	5.9939	9.0203	7.1171	7.6303	8.3612	9.2005	3.6191	7.4487	9.8134	7.4125	8.9662	6.3487	2.634	9.9965	11.2514	9.8551	7.6555	9.3727	5.8235	7.6725	10.8122	7.2964	6.7778	7.7652	8.6967	9.8605	5.1358	5.522	11.1704	8.7734	4.1638	8.1653	12.3408	8.3336	10.4358	8.4741	9.4962	8.0277	9.5652	9.5831	5.3665	9.434	9.1717	7.8026	9.4254	8.7756	6.741	6.5124	10.9271	10.6759	12.0827	9.0567	5.7309	8.4821	8.6069	4.1799	6.3367	7.8579	7.4526	8.6277	8.9728	9.743	6.5544	3.7315	7.7808	5.3989	11.0581	9.7081	8.6192	8.227	8.0	10.0847	7.743	8.0381	9.4831	7.6345	8.1665	6.9791	9.2019	7.2887	11.7108	7.269	6.3422	6.412	10.3551	7.0505	9.1233	7.1901	8.5617	11.2631	4.9569	9.2338	10.729	7.1242	8.5889	9.1826	8.872	11.2439	10.5616	9.106
GAPDH	2597	9.8969	10.7239	6.3673	6.7213	5.8507	7.3131	5.1275	7.31	8.2974	9.4785	8.121	3.9377	9.8945	9.0707	7.769	7.2272	7.3431	7.7198	5.7321	7.3	6.9772	7.4973	6.8573	10.1381	9.0103	8.9048	7.2431	7.5642	4.3703	7.763	5.702	8.6922	7.3355	8.1849	4.4736	8.8495	7.6644	6.0201	9.3423	4.9742	7.4633	7.7123	7.5937	8.6017	12.6676	7.8276	12.2288	9.9582	10.0102	8.4062	8.4053	4.6163	10.8552	7.6089	2.4834	11.0165	5.0144	10.7174	9.6176	6.9268	6.792	5.3142	5.1763	7.2882	7.2772	9.0248	5.6133	7.4308	7.8031	6.5941	8.4288	8.0094	7.1046	10.8553	5.6311	7.3207	8.6709	6.6491	7.0875	9.3218	10.9685	6.7685	10.7642	10.3713	5.0205	9.6565	8.2646	7.763	8.2513	8.8875	10.6394	8.5652	7.8172	7.3952	7.8795	5.9746	8.1375	9.3931	8.4468	7.485	6.3477	7.9595	9.3028	5.0297	6.8673	10.4507	7.1773	6.4455	7.6446	9.0539	7.2441	6.8054	7.7787	8.6739	11.9027	6.6917	10.3831	6.5206	5.9006	9.0334	12.6947	7.1743	6.3346	4.9092	7.1313	9.8848	9.1503	9.567	8.0629	5.7354	8.9887	6.6273	7.0463	4.5071	10.2111	6.6875	10.501	7.4867	8.9929	9.1134	8.8338	10.762	11.4226	6.1803	10.6849	9.7628	8.5777	9.4721	6.7458	5.5884
ACTB	60	8.9052	7.079	8.2357	4.7981	5.8693	7.1741	9.2277	6.6839	8.3389	7.9062	12.7228	6.0319	13.8324	13.2948	6.5221	8.1969	6.9279	7.1748	10.1828	6.7114	8.3125	6.0673	6.1549	7.604	7.8259	10.3922	7.0888	8.0156	10.2365	7.7363	10.3694	4.2525	6.578	9.5009	6.6933	7.4585	8.9458	9.234	10.4133	6.9513	7.0007	8.5694	7.0596	9.714	9.1766	5.9629	6.2855	5.4904	7.8291	11.7095	10.8023	7.4014	6.7882	8.0717	8.3396	6.8303	7.5706	5.7249	10.1668	6.7532	7.5626	7.4588	11.7862	8.817	10.7964	6.997	8.1856	5.9459	8.7971	6.7873	7.9279	7.7387	6.0681	7.9304	5.8112	5.9999	6.2908	6.4639	7.7703	8.0176	7.7073	7.9015	6.4242	7.7054	8.3682	7.9475	9.1574	5.2381	9.5162	3.8836	8.7042	8.5606	8.7748	9.051	4.3753	7.3919	7.7815	9.9994	6.5743	9.4611	2.4153	5.5832	8.4588	11.0011	9.6804	5.6208	10.1232	5.3742	9.6257	9.0826	7.3572	7.779	9.2242	8.0728	5.8665	8.0019	8.5537	5.4764	8.5619	7.3028	7.4194	7.8962	8.9664	11.908	9.7282	6.525	8.7528	8.2267	11.8256	6.0685	7.5233	7.799	9.5668	7.2478	10.5823	7.3623	8.0447	4.8415	7.3576	8.4773	8.7755	9.2646	9.0071	6.2885	9.4294	6.9131	8.0387	6.9024	11.2015	7.7678
CDH1	999	2.5874	7.973	10.0232	8.7097	8.9651	6.4509	8.5931	3.0571	5.2539	10.0834	9.5706	8.2958	10.3205	7.8918	5.0632	11.7465	5.2546	9.2532	7.5494	7.2833	5.371	5.5738	7.8099	7.1946	9.7857	10.6001	5.8132	5.5538	7.6138	8.8673	9.7162	8.056	6.9897	9.2225	8.8671	8.953	5.5861	8.8037	7.6135	8.252	7.463	8.7022	6.5543	6.9765	6.752	9.0969	7.3591	8.5453	11.5305	5.4733	10.581	7.6438	8.9478	9.7133	9.0887	9.2966	7.2776	8.0312	6.0825	8.8344	7.2037	8.0792	7.9839	9.505	6.1021	6.1013	8.3192	8.8962	6.358	12.5917	6.6255	10.4198	8.596	6.3138	6.1335	11.168	11.4355	3.821	9.1537	9.3274	9.2665	7.5644	5.9714	12.7547	9.6282	7.6759	7.2121	5.8133	6.6759	7.3161	5.3786	10.5869	7.2308	8.6128	5.5338	6.9539	5.0972	7.1442	3.2971	6.4687	4.9511	8.7498	6.4628	8.626	6.7003	4.5383	8.5805	6.0322	5.1669	8.0124	8.1469	10.9287	7.2354	4.5554	13.4686	10.7417	5.993	8.2634	3.5044	7.8131	7.1028	5.661	8.4778	6.1735	9.9657	6.4852	7.4553	7.3567	8.3479	5.0926	6.2309	10.2805	13.5141	9.5756	7.1109	6.1859	8.0876	2.806	7.7361	8.1233	7.8688	10.3876	5.3821	7.6894	6.0654	7.0107	5.3332	10.1743	5.9993	6.7551
VEGFA	7422	7.7494	8.369	9.6426	9.2667	8.9649	7.7634	9.0296	7.5974	7.1641	10.0401	8.6149	10.2132	5.8764	8.3205	7.4246	6.3443	6.8676	11.4657	10.9167	10.5742	6.2014	5.5897	10.9457	12.935	8.0474	9.2375	9.3711	10.1645	9.4035	7.6252	6.9435	8.7176	6.6487	6.3565	10.7137	8.5034	8.8705	10.5334	5.6076	10.0088	8.9164	11.2133	8.2593	7.3295	11.2543	10.4195	8.6854	9.639	6.4949	8.4112	9.5926	6.1385	6.2697	5.9321	5.9646	6.2878	5.7689	11.1565	5.2859	5.5346	7.5412	6.3833	7.3668	7.4454	8.6673	8.7469	7.5664	9.1955	7.1678	5.7578	7.0512	8.5353	7.0451	8.8557	5.9734	5.6867	2.7513	1.2105	5.817	7.2154	9.1056	9.3415	7.3673	8.2012	7.8244	8.2149	10.4039	10.7803	10.3123	7.4652	4.9628	8.096	4.6972	9.9357	7.1712	8.0589	11.3207	8.6521	7.5809	9.5477	6.8199	7.7158	4.8231	8.8729	8.2523	5.4861	8.7461	8.643	8.5851	4.3226	5.5077	10.7611	11.0783	8.8237	2.1999	6.2613	11.0124	10.2593	8.0142	6.3186	10.186	7.9906	5.8611	10.9999	2.0697	10.3882	8.2359	6.5482	8.9913	5.5282	6.1383	10.5412	7.1905	7.1074	8.8724	9.0443	8.187	8.6742	7.0382	9.3096	6.2835	7.5734	7.5294	6.4154	7.5702	11.9283	11.0038	7.7254	12.2395	10.89
MYC	4609	8.9966	3.6307	12.0132	7.8104	10.802	10.8693	8.0064	11.153	9.6029	5.0172	6.9632	5.9256	6.6013	7.2603	6.1174	9.1258	5.2492	4.9335	10.0078	9.3296	7.1719	12.6203	4.6669	11.5912	7.9343	8.1245	8.4908	4.7883	7.7353	5.8008	7.0324	6.3839	10.2798	8.9583	8.4255	10.0763	8.3755	9.5364	8.8581	6.3998	5.7191	6.7844	6.1721	8.1689	7.7409	7.4257	10.8377	10.0502	7.0029	8.2588	9.3509	6.3171	13.0365	8.0214	8.9016	10.9189	9.9583	10.1363	10.515	11.9073	7.5616	10.883	7.9953	9.9287	8.99	7.3162	6.6418	9.0353	7.5437	6.6122	6.2545	5.4146	10.2764	8.0155	8.9626	9.0606	7.8836	7.7528	6.7642	4.5267	10.0894	7.8442	8.5171	8.566	5.5958	10.1719	9.3873	9.0406	8.7964	7.2614	8.4914	4.6908	12.2177	12.6731	9.5335	9.9228	10.894	8.1542	5.022	9.1769	7.2056	7.1742	5.4103	9.6047	8.5428	7.3436	10.698	9.9723	6.3348	6.9495	9.6919	7.6022	9.028	9.24	10.1919	9.2823	5.7869	6.3919	8.5545	4.9876	9.6915	5.6058	7.2298	10.2894	4.6861	7.8015	7.8109	8.6428	11.9862	5.0232	7.0223	8.0314	5.3149	8.007	2.5711	7.0248	12.6463	7.6162	10.6826	10.929	6.2659	7.2055	6.6126	4.9043	11.2912	7.0315	8.7438	8.0783	7.9564	8.5685
